iter	Passed	Remaining
205	358	1383
206	359	1377
207	360	1372
208	361	1367
209	362	1362
210	362	1356
211	363	1351
212	364	1346
213	365	1342
214	366	1337
215	367	1333
216	368	1328
217	368	1323
218	369	1318
219	370	1313
220	371	1309
221	372	1304
222	373	1299
223	373	1295
224	374	1290
225	375	1286
226	376	1281
227	377	1276
228	377	1272
229	378	1268
230	379	1263
231	380	1260
232	381	1255
233	382	1251
234	383	1247
235	384	1243
236	384	1238
237	385	1234
238	386	1230
239	387	1226
240	388	1222
241	388	1218
242	389	1214
243	390	1210
244	391	1206
245	392	1202
246	393	1198
247	393	1194
248	394	1190
249	395	1187
250	396	1183
251	397	1179
252	398	1175
253	399	1172
254	399	1168
255	400	1164
256	401	1161
257	402	1157
258	403	1153
259	404	1150
260	404	1146
261	405	1142
262	406	1139
263	407	1135
264	408	1132
265	409	1129
266	410	1125
267	410	1122
268	411	1118
269	412	1115
270	413	1112
271	414	1108
272	415	1105
273	415	1101
274	416	1098
275	417	1095
276	418	1092
277	419	1088
278	420	1085
279	420	1082
280	421	1079
281	422	1076
282	423	1072
283	424	1069
284	425	1066
285	425	1063
286	426	1059
287	427	1056
288	428	1053
289	429	1050
290	429	1047
291	430	1044
292	431	1041
293	432	1037
294	433	1034
295	433	1031
296	434	1028
297	435	1025
298	436	1023
299	437	1020
300	438	1017
301	439	1015
302	440	1012
303	441	1010
304	442	1008
305	443	1005
306	444	1002
307	445	1000
308	445	997
309	446	994
310	447	991
311	448	989
312	449	986
313	450	983
314	451	981
315	452	978
316	452	975
317	453	972
318	454	970
319	455	967
320	456	964
321	456	962
322	457	959
323	458	956
324	459	954
325	460	951
326	461	948
327	461	946
328	462	943
329	463	941
330	464	938
331	465	936
332	466	934
333	467	931
334	468	929
335	468	926
336	469	924
337	470	921
338	471	919
339	472	917
340	473	914
341	474	912
342	475	909
343	475	907
344	476	904
345	477	902
346	478	900
347	479	898
348	480	896
349	481	893
350	482	891
351	482	888
352	483	886
353	484	884
354	485	881
355	486	879
356	487	877
357	489	877
358	492	879
359	494	878
360	495	877
361	496	875
362	497	873
363	498	871
364	499	869
365	500	867
366	501	865
367	502	863
368	503	861
369	504	859
370	505	857
371	506	855
372	507	853
373	508	851
374	509	849
375	510	847
376	511	845
377	512	843
378	513	841
379	514	839
380	515	837
381	516	835
382	517	833
383	518	831
384	518	829
385	519	826
386	520	824
387	521	823
388	522	821
389	523	819
390	524	817
391	525	815
392	526	812
393	527	810
394	528	809
395	529	807
396	530	805
397	531	803
398	532	801
399	533	799
400	534	798
401	535	796
402	536	794
403	537	793
404	538	791
405	539	789
406	540	787
407	541	785
408	542	783
409	543	781
410	543	779
411	544	777
412	545	775
413	546	774
414	547	772
415	548	770
416	549	768
417	550	766
418	551	764
419	552	762
420	553	760
421	554	758
422	554	756
423	555	754
424	556	752
425	557	751
426	558	749
427	559	747
428	559	745
429	560	743
430	561	741
431	562	739
432	563	738
433	564	736
434	565	734
435	566	732
436	567	731
437	568	729
438	569	728
439	570	726
440	571	724
441	572	722
442	573	721
443	574	719
444	575	717
445	576	715
446	577	714
447	578	712
448	579	711
449	580	709
450	581	708
451	582	706
452	583	704
453	584	702
454	585	701
455	586	699
456	586	697
457	587	695
458	588	693
459	589	691
460	590	690
461	591	688
462	592	687
463	593	685
464	594	683
465	595	682
466	596	680
467	597	678
468	597	677
469	598	675
470	599	673
471	600	671
472	601	669
473	602	668
474	602	666
475	603	664
476	604	662
477	605	661
478	606	659
479	607	658
